emotion,
surprised,329
surprised,330
disgusted,331
surprised,332
disgusted,333
disgusted,334
disgusted,335
surprised,336
neutral,337
angry,338
angry,339
fearful,340
fearful,341
angry,342
angry,343
surprised,344
surprised,345
neutral,346
neutral,347
disgusted,348
fearful,349
angry,350
fearful,351
angry,352
angry,353
surprised,354
angry,355
disgusted,356
surprised,357
fearful,358
angry,359
angry,360
angry,361
surprised,362
neutral,363
disgusted,364
fearful,365
disgusted,366
surprised,367
angry,368
angry,369
disgusted,370
disgusted,371
fearful,372
neutral,373
angry,374
fearful,375
neutral,376
angry,377
disgusted,378
fearful,379
disgusted,380
fearful,381
neutral,382
angry,383
disgusted,384
angry,385
angry,386
angry,387
sad,388
fearful,389
angry,390
neutral,391
surprised,392
angry,393
angry,394
neutral,395
neutral,396
neutral,397
fearful,398
neutral,399
angry,400
disgusted,401
fearful,402
angry,403
angry,404
neutral,405
disgusted,406
fearful,407
disgusted,408
angry,409
neutral,410
surprised,411
angry,412
surprised,413
fearful,414
neutral,415
sad,416
disgusted,417
fearful,418
neutral,419
fearful,420
angry,421
angry,422
neutral,423
angry,424
surprised,425
angry,426
angry,427
fearful,428
angry,429
angry,430
angry,431
fearful,432
angry,433
angry,434
surprised,435
disgusted,436
disgusted,437
surprised,438
disgusted,439
disgusted,440
angry,441
neutral,442
surprised,443
disgusted,444
disgusted,445
disgusted,446
angry,447
angry,448
neutral,449
disgusted,450
angry,451
fearful,452
disgusted,453
fearful,454
fearful,455
disgusted,456
angry,457
disgusted,458
neutral,459
fearful,460
neutral,461
angry,462
disgusted,463
angry,464
disgusted,465
angry,466
neutral,467
neutral,468
angry,469
angry,470
surprised,471
disgusted,472
sad,473
fearful,474
angry,475
fearful,476
fearful,477
disgusted,478
fearful,479
surprised,480
angry,481
neutral,482
fearful,483
angry,484
disgusted,485
fearful,486
disgusted,487
surprised,488
angry,489
neutral,490
neutral,491
surprised,492
neutral,493
surprised,494
disgusted,495
angry,496
surprised,497
neutral,498
angry,499
fearful,500
neutral,501
neutral,502
neutral,503
fearful,504
angry,505
neutral,506
fearful,507
neutral,508
angry,509
surprised,510
disgusted,511
disgusted,512
angry,513
angry,514
angry,515
angry,516
fearful,517
surprised,518
angry,519
neutral,520
angry,521
neutral,522
surprised,523
angry,524
angry,525
angry,
disgusted,
surprised,
surprised,
angry,
disgusted,
disgusted,
sad,
angry,
neutral,
neutral,
disgusted,
fearful,
disgusted,
disgusted,
neutral,
neutral,
angry,
neutral,
angry,
fearful,
neutral,
surprised,
angry,
fearful,
neutral,
neutral,
disgusted,
surprised,
neutral,
angry,
neutral,
angry,
angry,
fearful,
disgusted,
disgusted,
angry,
angry,
neutral,
fearful,
neutral,
disgusted,
disgusted,
neutral,
surprised,
disgusted,
sad,
disgusted,
fearful,
fearful,
angry,
fearful,
fearful,
angry,
angry,
disgusted,
surprised,
neutral,
disgusted,
disgusted,
fearful,
disgusted,
angry,
angry,
fearful,
neutral,
fearful,
disgusted,
surprised,
neutral,
fearful,
angry,
fearful,
fearful,
neutral,
neutral,
angry,
neutral,
neutral,
disgusted,
angry,
angry,
disgusted,
angry,
angry,
angry,
disgusted,
angry,
neutral,
angry,
angry,
angry,
neutral,
disgusted,
surprised,
fearful,
disgusted,
angry,
angry,
disgusted,
neutral,
disgusted,
disgusted,
neutral,
angry,
surprised,
angry,
fearful,
disgusted,
angry,
disgusted,
surprised,
disgusted,
angry,
disgusted,
angry,
neutral,
neutral,
disgusted,
angry,
surprised,
disgusted,
neutral,
angry,
neutral,
surprised,
disgusted,
angry,
disgusted,
fearful,
disgusted,
disgusted,
disgusted,
surprised,
surprised,
neutral,
fearful,
disgusted,
angry,
disgusted,
disgusted,
disgusted,
fearful,
surprised,
angry,
neutral,
neutral,
disgusted,
surprised,
angry,
angry,
disgusted,
neutral,
angry,
disgusted,
disgusted,
surprised,
disgusted,
disgusted,
surprised,
disgusted,
angry,
fearful,
disgusted,
disgusted,
surprised,
disgusted,
neutral,
surprised,
angry,
angry,
surprised,
neutral,
angry,
fearful,
fearful,
angry,
angry,
neutral,
disgusted,
fearful,
surprised,
fearful,
fearful,
angry,
fearful,
disgusted,
angry,
neutral,
angry,
neutral,
fearful,
surprised,
disgusted,
disgusted,
disgusted,
fearful,
disgusted,
neutral,
surprised,
angry,
disgusted,
fearful,
angry,
fearful,
neutral,
angry,
disgusted,
angry,
disgusted,
disgusted,
disgusted,
fearful,
angry,
fearful,
surprised,
angry,
fearful,
fearful,
fearful,
neutral,
fearful,
angry,
surprised,
surprised,
angry,
angry,
angry,
fearful,
angry,
neutral,
sad,
surprised,
disgusted,
angry,
neutral,
surprised,
angry,
angry,
neutral,
neutral,
fearful,
fearful,
angry,
surprised,
neutral,
fearful,
disgusted,
disgusted,
angry,
surprised,
angry,
angry,
disgusted,
neutral,
angry,
surprised,
surprised,
neutral,
disgusted,
neutral,
surprised,
surprised,
angry,
disgusted,
disgusted,
neutral,
fearful,
neutral,
surprised,
angry,
angry,
fearful,
angry,
neutral,
disgusted,
disgusted,
fearful,
angry,
fearful,
sad,
angry,
disgusted,
disgusted,
fearful,
angry,
disgusted,
surprised,
fearful,
angry,
disgusted,
angry,
surprised,
disgusted,
disgusted,
angry,
angry,
angry,
fearful,
sad,
disgusted,
angry,
disgusted,
disgusted,
angry,
neutral,
fearful,
angry,
angry,
fearful,
surprised,
neutral,
angry,
disgusted,
neutral,
angry,
surprised,
angry,
sad,
fearful,
fearful,
surprised,
disgusted,
angry,
angry,
neutral,
surprised,
angry,
neutral,
disgusted,
surprised,
neutral,
fearful,
angry,
angry,
fearful,
disgusted,
sad,
surprised,
angry,
surprised,
surprised,
fearful,
disgusted,
fearful,
fearful,
disgusted,
neutral,
neutral,
angry,
neutral,
angry,
angry,
disgusted,
angry,
angry,
angry,
neutral,
neutral,
fearful,
disgusted,
surprised,
angry,
fearful,
neutral,
disgusted,
surprised,
surprised,
disgusted,
fearful,
disgusted,
disgusted,
angry,
angry,
neutral,
angry,
angry,
fearful,
neutral,
disgusted,
fearful,
angry,
surprised,
angry,
fearful,
neutral,
neutral,
fearful,
disgusted,
neutral,
neutral,
angry,
neutral,
fearful,
disgusted,
angry,
angry,
fearful,
neutral,
disgusted,
angry,
angry,
angry,
neutral,
neutral,
angry,
angry,
angry,
angry,
neutral,
neutral,
angry,
angry,
fearful,
fearful,
disgusted,
disgusted,
angry,
neutral,
angry,
surprised,
disgusted,
fearful,
angry,
disgusted,
neutral,
angry,
fearful,
angry,
neutral,
angry,
neutral,
fearful,
surprised,
angry,
angry,
angry,
surprised,
angry,
angry,
neutral,
disgusted,
disgusted,
neutral,
angry,
surprised,
disgusted,
angry,
neutral,
angry,
angry,
fearful,
neutral,
angry,
disgusted,
fearful,
fearful,
disgusted,
angry,
angry,
angry,
angry,
neutral,
angry,
neutral,
neutral,
surprised,
fearful,
disgusted,
neutral,
disgusted,
angry,
neutral,
neutral,
angry,
neutral,
angry,
disgusted,
angry,
disgusted,
angry,
fearful,
angry,
angry,
angry,
disgusted,
fearful,
disgusted,
angry,
angry,
disgusted,
angry,
angry,
disgusted,
neutral,
angry,
disgusted,
angry,
fearful,
angry,
disgusted,
surprised,
disgusted,
angry,
angry,
disgusted,
surprised,
fearful,
angry,
fearful,
neutral,
disgusted,
angry,
surprised,
angry,
surprised,
surprised,
disgusted,
neutral,
disgusted,
disgusted,
disgusted,
disgusted,
surprised,
angry,
disgusted,
disgusted,
neutral,
angry,
disgusted,
disgusted,
disgusted,
surprised,
neutral,
angry,
neutral,
fearful,
fearful,
disgusted,
angry,
angry,
neutral,
angry,
surprised,
angry,
disgusted,
sad,
disgusted,
fearful,
disgusted,
disgusted,
angry,
fearful,
neutral,
disgusted,
disgusted,
disgusted,
surprised,
disgusted,
fearful,
surprised,
disgusted,
fearful,
angry,
angry,
fearful,
neutral,
neutral,
disgusted,
sad,
disgusted,
angry,
disgusted,
fearful,
neutral,
angry,
disgusted,
fearful,
angry,
angry,
surprised,
angry,
surprised,
neutral,
disgusted,
angry,
disgusted,
neutral,
sad,
fearful,
disgusted,
surprised,
neutral,
surprised,
disgusted,
angry,
angry,
angry,
angry,
neutral,
angry,
fearful,
angry,
disgusted,
disgusted,
surprised,
fearful,
angry,
surprised,
neutral,
fearful,
angry,
angry,
disgusted,
disgusted,
neutral,
fearful,
angry,
surprised,
disgusted,
angry,
angry,
disgusted,
angry,
disgusted,
disgusted,
angry,
fearful,
disgusted,
angry,
surprised,
angry,
disgusted,
angry,
neutral,
surprised,
fearful,
disgusted,
disgusted,
angry,
disgusted,
angry,
fearful,
angry,
fearful,
surprised,
angry,
disgusted,
angry,
surprised,
angry,
angry,
neutral,
disgusted,
angry,
disgusted,
neutral,
angry,
surprised,
disgusted,
disgusted,
angry,
neutral,
disgusted,
angry,
angry,
fearful,
angry,
neutral,
disgusted,
disgusted,
angry,
neutral,
angry,
surprised,
disgusted,
disgusted,
angry,
disgusted,
neutral,
angry,
angry,
disgusted,
angry,
angry,
disgusted,
angry,
surprised,
angry,
angry,
disgusted,
neutral,
disgusted,
neutral,
angry,
neutral,
angry,
surprised,
angry,
angry,
neutral,
fearful,
angry,
neutral,
fearful,
surprised,
angry,
angry,
angry,
neutral,
disgusted,
fearful,
surprised,
fearful,
disgusted,
angry,
angry,
fearful,
neutral,
disgusted,
angry,
neutral,
surprised,
angry,
neutral,
angry,
fearful,
disgusted,
angry,
neutral,
disgusted,
disgusted,
neutral,
disgusted,
surprised,
disgusted,
angry,
angry,
sad,
disgusted,
angry,
angry,
disgusted,
sad,
neutral,
disgusted,
fearful,
fearful,
disgusted,
angry,
neutral,
surprised,
neutral,
neutral,
angry,
disgusted,
disgusted,
neutral,
disgusted,
neutral,
angry,
disgusted,
surprised,
neutral,
surprised,
neutral,
angry,
angry,
disgusted,
neutral,
disgusted,
angry,
angry,
neutral,
fearful,
fearful,
neutral,
neutral,
fearful,
neutral,
angry,
angry,
disgusted,
sad,
angry,
angry,
neutral,
angry,
angry,
disgusted,
angry,
surprised,
disgusted,
surprised,
fearful,
fearful,
neutral,
neutral,
fearful,
disgusted,
surprised,
neutral,
angry,
disgusted,
angry,
fearful,
neutral,
disgusted,
disgusted,
neutral,
angry,
angry,
neutral,
angry,
disgusted,
fearful,
fearful,
neutral,
fearful,
fearful,
neutral,
angry,
angry,
angry,
fearful,
neutral,
angry,
disgusted,
disgusted,
angry,
neutral,
angry,
surprised,
disgusted,
angry,
angry,
disgusted,
angry,
angry,
fearful,
fearful,
disgusted,
surprised,
angry,
disgusted,
angry,
angry,
angry,
angry,
surprised,
fearful,
disgusted,
surprised,
disgusted,
disgusted,
angry,
neutral,
angry,
disgusted,
angry,
disgusted,
disgusted,
fearful,
fearful,
angry,
angry,
angry,
disgusted,
disgusted,
angry,
angry,
fearful,
surprised,
surprised,
fearful,
surprised,
surprised,
disgusted,
angry,
disgusted,
neutral,
angry,
disgusted,
fearful,
neutral,
angry,
angry,
neutral,
neutral,
neutral,
neutral,
disgusted,
disgusted,
angry,
disgusted,
angry,
neutral,
neutral,
disgusted,
disgusted,
neutral,
disgusted,
fearful,
surprised,
fearful,
disgusted,
neutral,
neutral,
disgusted,
fearful,
fearful,
angry,
neutral,
disgusted,
fearful,
disgusted,
angry,
angry,
neutral,
angry,
disgusted,
angry,
surprised,
angry,
surprised,
angry,
angry,
disgusted,
angry,
fearful,
surprised,
fearful,
disgusted,
angry,
angry,
angry,
angry,
surprised,
fearful,
fearful,
surprised,
angry,
fearful,
neutral,
fearful,
neutral,
angry,
fearful,
disgusted,
disgusted,
angry,
disgusted,
fearful,
fearful,
angry,
angry,
angry,
disgusted,
fearful,
angry,
disgusted,
disgusted,
surprised,
angry,
disgusted,
fearful,
neutral,
angry,
surprised,
fearful,
disgusted,
fearful,
disgusted,
neutral,
neutral,
disgusted,
neutral,
disgusted,
fearful,
fearful,
disgusted,
angry,
fearful,
angry,
angry,
disgusted,
angry,
surprised,
surprised,
disgusted,
disgusted,
surprised,
neutral,
angry,
angry,
angry,
disgusted,
disgusted,
disgusted,
angry,
disgusted,
surprised,
fearful,
fearful,
angry,
angry,
angry,
fearful,
surprised,
angry,
disgusted,
disgusted,
disgusted,
disgusted,
disgusted,
sad,
disgusted,
fearful,
disgusted,
neutral,
disgusted,
disgusted,
angry,
disgusted,
fearful,
surprised,
neutral,
fearful,
angry,
angry,
angry,
angry,
angry,
angry,
angry,
angry,
angry,
angry,
neutral,
angry,
fearful,
disgusted,
neutral,
disgusted,
neutral,
neutral,
angry,
surprised,
angry,
fearful,
fearful,
neutral,
disgusted,
angry,
disgusted,
angry,
surprised,
angry,
disgusted,
angry,
angry,
angry,
fearful,
neutral,
disgusted,
angry,
angry,
fearful,
angry,
neutral,
angry,
angry,
fearful,
disgusted,
fearful,
angry,
disgusted,
angry,
fearful,
fearful,
neutral,
fearful,
angry,
angry,
neutral,
angry,
disgusted,
fearful,
surprised,
disgusted,
surprised,
neutral,
sad,
angry,
angry,
disgusted,
disgusted,
fearful,
disgusted,
angry,
disgusted,
disgusted,
neutral,
disgusted,
angry,
fearful,
angry,
fearful,
angry,
neutral,
neutral,
neutral,
angry,
disgusted,
angry,
disgusted,
disgusted,
disgusted,
angry,
angry,
angry,
angry,
neutral,
surprised,
angry,
neutral,
surprised,
fearful,
disgusted,
neutral,
fearful,
neutral,
neutral,
fearful,
sad,
disgusted,
neutral,
disgusted,
surprised,
surprised,
fearful,
angry,
neutral,
disgusted,
neutral,
angry,
disgusted,
angry,
neutral,
disgusted,
disgusted,
angry,
disgusted,
disgusted,
surprised,
disgusted,
neutral,
disgusted,
neutral,
angry,
disgusted,
neutral,
disgusted,
disgusted,
neutral,
neutral,
angry,
angry,
neutral,
disgusted,
disgusted,
disgusted,
disgusted,
neutral,
surprised,
neutral,
fearful,
disgusted,
angry,
angry,
disgusted,
disgusted,
neutral,
surprised,
angry,
angry,
angry,
neutral,
angry,
neutral,
angry,
angry,
surprised,
fearful,
fearful,
fearful,
neutral,
angry,
surprised,
angry,
fearful,
fearful,
angry,
fearful,
angry,
disgusted,
neutral,
angry,
surprised,
angry,
neutral,
neutral,
disgusted,
disgusted,
fearful,
angry,
fearful,
neutral,
neutral,
disgusted,
angry,
surprised,
disgusted,
surprised,
angry,
fearful,
neutral,
neutral,
disgusted,
fearful,
surprised,
angry,
neutral,
disgusted,
fearful,
disgusted,
disgusted,
surprised,
disgusted,
angry,
surprised,
disgusted,
angry,
disgusted,
fearful,
angry,
disgusted,
neutral,
disgusted,
angry,
sad,
angry,
neutral,
fearful,
disgusted,
disgusted,
neutral,
neutral,
neutral,
disgusted,
disgusted,
angry,
disgusted,
angry,
fearful,
surprised,
disgusted,
angry,
fearful,
fearful,
surprised,
fearful,
fearful,
surprised,
disgusted,
angry,
fearful,
disgusted,
disgusted,
angry,
surprised,
disgusted,
disgusted,
angry,
angry,
angry,
disgusted,
fearful,
disgusted,
disgusted,
neutral,
disgusted,
neutral,
fearful,
disgusted,
surprised,
surprised,
surprised,
angry,
disgusted,
fearful,
disgusted,
fearful,
neutral,
neutral,
disgusted,
disgusted,
angry,
neutral,
surprised,
fearful,
fearful,
angry,
neutral,
angry,
disgusted,
sad,
angry,
disgusted,
angry,
angry,
disgusted,
angry,
disgusted,
angry,
angry,
disgusted,
angry,
surprised,
angry,
fearful,
neutral,
surprised,
disgusted,
disgusted,
neutral,
angry,
surprised,
angry,
disgusted,
neutral,
fearful,
disgusted,
disgusted,
neutral,
surprised,
fearful,
neutral,
angry,
fearful,
angry,
surprised,
neutral,
angry,
disgusted,
surprised,
neutral,
fearful,
disgusted,
disgusted,
disgusted,
disgusted,
fearful,
neutral,
angry,
neutral,
disgusted,
surprised,
neutral,
angry,
neutral,
disgusted,
angry,
disgusted,
angry,
surprised,
angry,
surprised,
disgusted,
angry,
surprised,
angry,
surprised,
angry,
surprised,
neutral,
disgusted,
surprised,
disgusted,
neutral,
fearful,
fearful,
disgusted,
disgusted,
angry,
disgusted,
angry,
angry,
disgusted,
angry,
angry,
disgusted,
fearful,
fearful,
angry,
disgusted,
angry,
disgusted,
angry,
disgusted,
angry,
disgusted,
fearful,
angry,
fearful,
disgusted,
angry,
angry,
surprised,
angry,
angry,
neutral,
disgusted,
neutral,
angry,
surprised,
disgusted,
disgusted,
disgusted,
surprised,
angry,
neutral,
angry,
surprised,
neutral,
surprised,
disgusted,
neutral,
neutral,
angry,
fearful,
disgusted,
disgusted,
disgusted,
angry,
neutral,
angry,
disgusted,
sad,
neutral,
surprised,
disgusted,
neutral,
disgusted,
angry,
disgusted,
angry,
angry,
angry,
fearful,
neutral,
neutral,
neutral,
fearful,
angry,
surprised,
disgusted,
angry,
angry,
fearful,
surprised,
angry,
surprised,
neutral,
disgusted,
fearful,
angry,
fearful,
sad,
angry,
angry,
angry,
neutral,
neutral,
fearful,
disgusted,
angry,
neutral,
surprised,
disgusted,
angry,
surprised,
neutral,
angry,
angry,
disgusted,
surprised,
angry,
disgusted,
angry,
disgusted,
angry,
angry,
disgusted,
angry,
surprised,
fearful,
surprised,
angry,
disgusted,
neutral,
angry,
angry,
disgusted,
fearful,
fearful,
neutral,
neutral,
disgusted,
angry,
fearful,
angry,
disgusted,
angry,
fearful,
neutral,
neutral,
angry,
angry,
angry,
fearful,
disgusted,
surprised,
surprised,
fearful,
neutral,
disgusted,
disgusted,
disgusted,
angry,
angry,
neutral,
disgusted,
angry,
disgusted,
surprised,
disgusted,
fearful,
angry,
disgusted,
angry,
neutral,
angry,
angry,
angry,
fearful,
disgusted,
angry,
fearful,
neutral,
angry,
disgusted,
surprised,
surprised,
angry,
neutral,
fearful,
neutral,
angry,
disgusted,
fearful,
fearful,
fearful,
angry,
angry,
neutral,
angry,
neutral,
angry,
angry,
neutral,
angry,
neutral,
disgusted,
angry,
fearful,
disgusted,
surprised,
disgusted,
disgusted,
angry,
fearful,
surprised,
disgusted,
fearful,
disgusted,
disgusted,
angry,
disgusted,
angry,
neutral,
angry,
fearful,
surprised,
angry,
fearful,
neutral,
fearful,
disgusted,
disgusted,
disgusted,
angry,
angry,
surprised,
disgusted,
angry,
angry,
angry,
neutral,
surprised,
fearful,
angry,
neutral,
angry,
sad,
disgusted,
fearful,
fearful,
neutral,
neutral,
angry,
neutral,
disgusted,
angry,
fearful,
fearful,
sad,
surprised,
angry,
angry,
disgusted,
surprised,
neutral,
disgusted,
neutral,
neutral,
surprised,
angry,
angry,
angry,
fearful,
fearful,
angry,
fearful,
angry,
disgusted,
neutral,
disgusted,
angry,
disgusted,
angry,
surprised,
fearful,
disgusted,
angry,
disgusted,
angry,
angry,
surprised,
fearful,
angry,
neutral,
disgusted,
surprised,
angry,
disgusted,
disgusted,
disgusted,
fearful,
disgusted,
neutral,
angry,
neutral,
disgusted,
disgusted,
neutral,
disgusted,
neutral,
angry,
neutral,
fearful,
disgusted,
disgusted,
angry,
angry,
disgusted,
neutral,
disgusted,
angry,
fearful,
neutral,
surprised,
angry,
angry,
disgusted,
fearful,
fearful,
surprised,
angry,
neutral,
angry,
angry,
angry,
disgusted,
neutral,
angry,
neutral,
fearful,
surprised,
angry,
angry,
angry,
angry,
fearful,
fearful,
fearful,
disgusted,
neutral,
angry,
angry,
disgusted,
neutral,
surprised,
angry,
angry,
angry,
neutral,
angry,
angry,
surprised,
disgusted,
angry,
fearful,
fearful,
neutral,
disgusted,
neutral,
neutral,
sad,
neutral,
surprised,
angry,
neutral,
fearful,
neutral,
disgusted,
surprised,
disgusted,
disgusted,
disgusted,
disgusted,
angry,
angry,
angry,
surprised,
fearful,
disgusted,
neutral,
neutral,
disgusted,
fearful,
fearful,
neutral,
fearful,
angry,
angry,
neutral,
neutral,
disgusted,
disgusted,
disgusted,
disgusted,
fearful,
disgusted,
disgusted,
angry,
angry,
angry,
angry,
disgusted,
angry,
neutral,
fearful,
fearful,
sad,
neutral,
disgusted,
disgusted,
angry,
disgusted,
disgusted,
disgusted,
neutral,
fearful,
neutral,
fearful,
surprised,
neutral,
disgusted,
surprised,
angry,
disgusted,
angry,
angry,
disgusted,
angry,
surprised,
surprised,
angry,
disgusted,
angry,
neutral,
angry,
disgusted,
surprised,
surprised,
fearful,
angry,
disgusted,
fearful,
fearful,
surprised,
neutral,
fearful,
disgusted,
angry,
angry,
surprised,
angry,
neutral,
angry,
neutral,
neutral,
neutral,
neutral,
angry,
fearful,
disgusted,
fearful,
neutral,
disgusted,
fearful,
neutral,
neutral,
angry,
angry,
angry,
neutral,
disgusted,
angry,
disgusted,
fearful,
sad,
fearful,
fearful,
surprised,
surprised,
angry,
neutral,
angry,
disgusted,
angry,
fearful,
angry,
neutral,
fearful,
disgusted,
disgusted,
neutral,
neutral,
angry,
fearful,
neutral,
angry,
disgusted,
angry,
disgusted,
fearful,
neutral,
fearful,
fearful,
angry,
sad,
surprised,
disgusted,
disgusted,
neutral,
disgusted,
angry,
fearful,
neutral,
angry,
neutral,
angry,
angry,
disgusted,
neutral,
surprised,
disgusted,
disgusted,
disgusted,
fearful,
disgusted,
neutral,
fearful,
disgusted,
neutral,
disgusted,
surprised,
neutral,
neutral,
surprised,
angry,
disgusted,
angry,
neutral,
disgusted,
neutral,
angry,
disgusted,
angry,
neutral,
angry,
angry,
surprised,
angry,
disgusted,
disgusted,
disgusted,
surprised,
angry,
disgusted,
neutral,
angry,
fearful,
disgusted,
disgusted,
disgusted,
surprised,
angry,
disgusted,
angry,
angry,
surprised,
disgusted,
surprised,
disgusted,
angry,
angry,
angry,
angry,
neutral,
neutral,
disgusted,
angry,
disgusted,
neutral,
disgusted,
fearful,
angry,
neutral,
angry,
angry,
fearful,
surprised,
angry,
angry,
neutral,
angry,
disgusted,
disgusted,
angry,
disgusted,
neutral,
angry,
angry,
surprised,
angry,
angry,
fearful,
angry,
disgusted,
surprised,
neutral,
disgusted,
disgusted,
neutral,
neutral,
angry,
angry,
disgusted,
disgusted,
surprised,
angry,
disgusted,
neutral,
angry,
disgusted,
neutral,
disgusted,
disgusted,
angry,
angry,
neutral,
disgusted,
sad,
disgusted,
angry,
fearful,
angry,
disgusted,
surprised,
disgusted,
fearful,
angry,
angry,
fearful,
disgusted,
angry,
disgusted,
angry,
angry,
disgusted,
fearful,
disgusted,
neutral,
disgusted,
neutral,
angry,
surprised,
angry,
angry,
angry,
fearful,
angry,
fearful,
angry,
angry,
neutral,
angry,
neutral,
neutral,
angry,
neutral,
angry,
angry,
neutral,
neutral,
neutral,
angry,
angry,
neutral,
disgusted,
angry,
disgusted,
fearful,
fearful,
angry,
fearful,
surprised,
disgusted,
angry,
angry,
neutral,
neutral,
neutral,
disgusted,
disgusted,
neutral,
disgusted,
angry,
neutral,
angry,
disgusted,
disgusted,
disgusted,
neutral,
fearful,
angry,
surprised,
neutral,
angry,
surprised,
disgusted,
fearful,
surprised,
fearful,
fearful,
sad,
neutral,
fearful,
angry,
disgusted,
angry,
neutral,
neutral,
angry,
surprised,
angry,
disgusted,
neutral,
fearful,
fearful,
disgusted,
fearful,
disgusted,
disgusted,
fearful,
disgusted,
angry,
disgusted,
angry,
disgusted,
disgusted,
fearful,
disgusted,
fearful,
angry,
disgusted,
angry,
fearful,
angry,
angry,
neutral,
fearful,
fearful,
neutral,
neutral,
angry,
disgusted,
neutral,
angry,
angry,
disgusted,
angry,
angry,
neutral,
disgusted,
angry,
angry,
neutral,
disgusted,
angry,
disgusted,
fearful,
angry,
fearful,
angry,
disgusted,
neutral,
angry,
angry,
angry,
angry,
fearful,
disgusted,
fearful,
angry,
sad,
angry,
surprised,
angry,
neutral,
neutral,
disgusted,
disgusted,
surprised,
fearful,
neutral,
disgusted,
angry,
angry,
angry,
neutral,
angry,
angry,
neutral,
angry,
disgusted,
surprised,
angry,
fearful,
angry,
fearful,
fearful,
surprised,
disgusted,
fearful,
fearful,
fearful,
neutral,
angry,
disgusted,
disgusted,
angry,
sad,
disgusted,
neutral,
